transaction_id,amount,transaction_time,merchant_category,device_type,is_international,distance_from_home,credit_score,is_fraud
1,749.71,21,Clothing,Web,0,423.46,487,1
2,1901.48,16,Groceries,POS Terminal,0,214.32,589,0
3,1464.26,8,Clothing,Web,0,70.48,344,0
4,1197.72,0,Electronics,Web,0,332.09,382,1
5,312.88,20,Clothing,POS Terminal,0,108.05,422,0
6,312.83,19,Clothing,POS Terminal,0,48.78,657,0
7,117.11,12,Fuel,POS Terminal,0,430.99,827,0
8,1732.49,15,Clothing,Mobile,0,230.08,365,1
9,1202.63,12,Clothing,Web,1,374.64,674,1
10,1416.44,13,Electronics,Mobile,0,145.29,461,0
11,42.15,2,Fuel,Mobile,0,393.49,679,0
12,1939.85,5,Online Services,POS Terminal,0,55.97,657,0
13,1665.05,17,Electronics,Mobile,0,177.99,487,1
14,425.47,18,Electronics,POS Terminal,0,489.03,621,0
15,364.47,4,Online Services,Web,1,396.99,749,1
16,367.63,14,Clothing,POS Terminal,0,248.63,773,0
17,609.18,1,Groceries,Mobile,0,169.89,312,0
18,1049.99,9,Fuel,Mobile,0,436.07,483,1
19,864.46,23,Groceries,POS Terminal,0,272.42,410,0
20,583.17,17,Online Services,POS Terminal,0,379.21,807,0
21,1224.09,12,Electronics,Mobile,0,377.05,589,0
22,279.85,4,Electronics,Web,0,8.97,594,0
23,585.0,22,Fuel,Web,1,63.13,750,0
24,733.36,23,Electronics,POS Terminal,0,329.81,514,0
25,912.68,0,Electronics,Web,0,80.81,326,0
26,1570.57,21,Fuel,Mobile,0,127.75,530,0
27,400.15,0,Fuel,POS Terminal,0,473.32,620,0
28,1028.95,17,Online Services,Mobile,0,280.09,532,0
29,1185.24,14,Electronics,Mobile,0,375.36,736,0
30,93.85,16,Electronics,Web,0,278.99,832,0
31,1215.48,10,Online Services,POS Terminal,0,276.26,702,0
32,341.88,20,Clothing,POS Terminal,0,47.08,352,0
33,131.04,21,Clothing,Web,0,171.83,612,0
34,1897.82,16,Clothing,Mobile,0,141.22,580,0
35,1931.3,12,Online Services,Mobile,0,195.36,330,1
36,1616.99,0,Electronics,Mobile,0,399.17,636,1
37,609.92,1,Online Services,Mobile,0,185.97,482,0
38,196.25,8,Online Services,POS Terminal,0,225.85,322,0
39,1368.78,2,Clothing,POS Terminal,0,198.69,843,0
40,880.86,0,Groceries,Web,0,46.7,745,0
41,244.95,20,Electronics,Web,0,220.54,373,0
42,990.86,15,Clothing,POS Terminal,0,97.8,309,0
43,69.74,22,Groceries,POS Terminal,0,93.36,783,0
44,1818.73,5,Groceries,Mobile,0,47.02,755,0
45,518.3,16,Fuel,Mobile,0,178.34,459,0
46,1325.38,4,Electronics,Web,1,378.74,313,1
47,624.11,4,Groceries,POS Terminal,0,138.22,477,0
48,1040.62,5,Clothing,Web,0,156.17,711,0
49,1093.87,2,Fuel,POS Terminal,0,321.34,352,1
50,370.52,20,Electronics,Mobile,0,97.92,707,0
51,1939.2,22,Online Services,Web,0,448.48,321,1
52,1550.49,4,Clothing,Web,0,260.1,329,1
53,1879.06,20,Groceries,POS Terminal,0,223.8,559,0
54,1789.76,4,Groceries,Mobile,0,278.91,504,0
55,1196.2,9,Clothing,Web,0,83.02,358,0
56,1843.83,9,Groceries,Mobile,0,306.74,770,1
57,177.9,18,Fuel,Web,0,181.55,765,0
58,392.77,16,Electronics,Mobile,0,448.59,311,0
59,91.41,20,Fuel,POS Terminal,0,84.43,589,0
60,651.34,13,Groceries,Web,0,253.53,653,0
61,777.97,8,Online Services,Web,0,299.06,374,0
62,543.43,13,Electronics,Mobile,0,16.69,740,0
63,1657.65,0,Electronics,Mobile,0,181.85,540,0
64,714.15,18,Clothing,Web,0,366.32,453,1
65,562.59,12,Clothing,POS Terminal,0,410.19,395,1
66,1085.85,12,Online Services,Mobile,0,156.58,593,0
67,282.71,3,Electronics,Mobile,0,399.3,508,0
68,1604.59,0,Online Services,Mobile,0,483.88,642,0
69,150.03,16,Clothing,Web,1,428.44,387,1
70,1973.79,7,Clothing,Web,0,58.82,689,0
71,1544.72,1,Electronics,Web,0,369.87,624,1
72,398.23,7,Fuel,Web,0,159.83,456,0
73,12.04,6,Groceries,POS Terminal,0,494.21,436,1
74,1631.11,1,Clothing,POS Terminal,1,242.68,727,1
75,1414.01,21,Clothing,Web,0,61.22,751,0
76,1458.29,21,Fuel,POS Terminal,0,362.59,440,1
77,1542.77,2,Fuel,Mobile,0,161.51,382,1
78,149.02,17,Online Services,Mobile,0,498.54,476,0
79,717.57,11,Online Services,Mobile,0,489.89,497,0
80,232.62,0,Groceries,Web,0,328.07,720,0
81,1726.34,21,Groceries,Mobile,0,64.91,700,0
82,1246.97,11,Electronics,POS Terminal,0,343.43,770,0
83,662.47,4,Online Services,Web,1,46.52,517,1
84,128.05,16,Clothing,POS Terminal,0,14.68,474,0
85,622.65,15,Online Services,Mobile,0,411.48,322,1
86,651.04,14,Clothing,Mobile,0,104.88,534,0
87,1459.48,22,Fuel,Mobile,1,189.51,312,1
88,1275.48,14,Online Services,Web,0,486.73,400,0
89,1774.54,4,Fuel,POS Terminal,0,168.42,835,0
90,944.96,20,Groceries,Web,0,148.24,822,0
91,240.07,13,Groceries,Web,0,459.1,751,0
92,1426.78,1,Electronics,Mobile,0,55.37,730,0
93,1521.81,10,Online Services,Web,0,379.79,832,1
94,1122.99,18,Fuel,Web,0,494.03,592,0
95,1542.16,6,Clothing,Mobile,0,450.65,400,1
96,988.1,5,Groceries,Web,1,325.83,801,1
97,1045.94,1,Groceries,Mobile,0,157.03,603,0
98,855.65,5,Clothing,Mobile,0,127.16,839,0
99,51.81,17,Fuel,Mobile,0,409.63,654,0
100,216.67,1,Fuel,Mobile,0,439.91,602,0
101,63.83,17,Online Services,Web,0,262.72,795,0
102,1273.18,14,Online Services,Mobile,0,122.17,526,0
103,629.4,18,Electronics,Mobile,0,56.47,535,0
104,1017.63,1,Groceries,Web,0,43.59,754,0
105,1815.23,19,Online Services,Web,0,359.54,312,1
106,499.34,5,Fuel,POS Terminal,0,210.06,509,0
107,821.36,0,Clothing,Web,0,452.68,696,0
108,1511.35,23,Fuel,Web,0,369.84,399,1
109,458.37,14,Groceries,POS Terminal,0,95.63,330,0
110,154.88,22,Fuel,Web,1,306.89,827,1
